# S12_frequency_set	VNA_S12_trace
# "S12 frequency"	"S12 magnitude"
# 1000
100000	-20.20124103
20119919.9199199	-63.91451172
40139839.8398398	-64.39477955
60159759.7597598	-64.95566355
80179679.6796797	-65.03661892
100199599.5996	-65.35832887
120219519.51952	-65.6520174
140239439.439439	-65.84205666
160259359.359359	-66.31710484
180279279.279279	-66.57938546
200299199.199199	-66.52427449
220319119.119119	-66.84018965
240339039.039039	-67.13598882
260358958.958959	-67.11259053
280378878.878879	-67.44145649
300398798.798799	-67.77269405
320418718.718719	-67.96267238
340438638.638639	-68.0331504
360458558.558559	-68.17896453
380478478.478478	-68.52704822
400498398.398398	-68.5127347
420518318.318318	-68.66064641
440538238.238238	-68.93581673
460558158.158158	-68.99089397
480578078.078078	-69.17098149
500597997.997998	-69.39115657
520617917.917918	-69.4565495
540637837.837838	-69.37418724
560657757.757758	-69.77184019
580677677.677678	-69.99492227
600697597.597598	-70.12465429
620717517.517517	-69.83109497
640737437.437437	-70.29867464
660757357.357357	-70.56815199
680777277.277277	-70.34375345
700797197.197197	-70.77313263
720817117.117117	-70.63849657
740837037.037037	-70.69063087
760856956.956957	-70.91639401
780876876.876877	-71.03464945
800896796.796797	-71.32805064
820916716.716717	-71.23844151
840936636.636637	-71.17460309
860956556.556557	-71.84370974
880976476.476476	-71.39300713
900996396.396396	-71.77353063
921016316.316316	-71.97038471
941036236.236236	-72.125079
961056156.156156	-72.48860207
981076076.076076	-72.10321427
1001095995.996	-72.35240983
1021115915.91592	-72.53252544
1041135835.83584	-72.65874002
1061155755.75576	-72.22438762
1081175675.67568	-72.66363736
1101195595.5956	-72.6040078
1121215515.51552	-72.91155952
1141235435.43544	-73.22552156
1161255355.35536	-72.91928854
1181275275.27528	-72.99387202
1201295195.1952	-73.23332588
1221315115.11512	-73.93363152
1241335035.03503	-73.84231123
1261354954.95495	-73.63383651
1281374874.87487	-73.44910788
1301394794.79479	-73.54782816
1321414714.71471	-73.6336141
1341434634.63463	-73.8842988
1361454554.55455	-73.9874301
1381474474.47447	-73.99819133
1401494394.39439	-74.06023712
1421514314.31431	-74.27295658
1441534234.23423	-74.42069142
1461554154.15415	-74.3903824
1481574074.07407	-74.57234725
1501593993.99399	-74.84378499
1521613913.91391	-74.3513797
1541633833.83383	-74.81031038
1561653753.75375	-74.75951951
1581673673.67367	-75.28268409
1601693593.59359	-75.06877491
1621713513.51351	-74.88164143
1641733433.43343	-75.67540263
1661753353.35335	-75.43251993
1681773273.27327	-75.44604904
1701793193.19319	-75.36274137
1721813113.11311	-75.54660711
1741833033.03303	-75.49089323
1761852952.95295	-75.78357173
1781872872.87287	-76.17739923
1801892792.79279	-76.1500297
1821912712.71271	-75.89698835
1841932632.63263	-76.04049141
1861952552.55255	-76.02831808
1881972472.47247	-76.42475353
1901992392.39239	-75.98825358
1922012312.31231	-76.78663188
1942032232.23223	-76.54644946
1962052152.15215	-76.61755466
1982072072.07207	-76.85414728
2002091991.99199	-76.47136738
2022111911.91191	-76.91324111
2042131831.83183	-77.34313871
2062151751.75175	-77.0032549
2082171671.67167	-77.32002974
2102191591.59159	-76.74777126
2122211511.51151	-76.92146671
2142231431.43143	-77.72607465
2162251351.35135	-77.56844522
2182271271.27127	-77.40505502
2202291191.19119	-78.03737975
2222311111.11111	-77.75018102
2242331031.03103	-77.83387405
2262350950.95095	-77.65103979
2282370870.87087	-77.55599576
2302390790.79079	-77.65420898
2322410710.71071	-78.05175616
2342430630.63063	-78.31242746
2362450550.55055	-78.2507579
2382470470.47047	-77.66574239
2402490390.39039	-78.6181384
2422510310.31031	-78.39039002
2442530230.23023	-78.15531929
2462550150.15015	-78.48155986
2482570070.07007	-78.15049099
2502589989.98999	-78.67945046
2522609909.90991	-78.977788
2542629829.82983	-78.6367952
2562649749.74975	-78.92131658
2582669669.66967	-78.70754485
2602689589.58959	-79.14452283
2622709509.50951	-79.12833733
2642729429.42943	-79.44847586
2662749349.34935	-79.80625959
2682769269.26927	-79.12664712
2702789189.18919	-79.06103531
2722809109.10911	-79.82537857
2742829029.02903	-79.62014017
2762848948.94895	-79.54575394
2782868868.86887	-79.70902871
2802888788.78879	-79.8407678
2822908708.70871	-80.23903026
2842928628.62863	-80.32920804
2862948548.54855	-79.82304506
2882968468.46847	-80.0295768
2902988388.38839	-80.15995639
2923008308.30831	-80.55361519
2943028228.22823	-80.42068847
2963048148.14815	-80.54936613
2983068068.06807	-80.38242432
3003087987.98799	-80.47886366
3023107907.90791	-80.80421555
3043127827.82783	-80.72588031
3063147747.74775	-81.295951
3083167667.66767	-81.418915
3103187587.58759	-80.47985129
3123207507.50751	-80.72622969
3143227427.42743	-81.36371786
3163247347.34735	-81.35531124
3183267267.26727	-81.17751848
3203287187.18719	-81.61724424
3223307107.10711	-81.47940567
3243327027.02703	-81.43701827
3263346946.94695	-81.88085364
3283366866.86687	-81.38022026
3303386786.78679	-80.94004814
3323406706.70671	-81.83430705
3343426626.62663	-81.87766538
3363446546.54655	-82.12356886
3383466466.46647	-82.2262121
3403486386.38639	-81.52185046
3423506306.30631	-82.23955557
3443526226.22623	-82.14629859
3463546146.14615	-81.96171331
3483566066.06607	-81.59763351
3503585985.98599	-82.23267177
3523605905.90591	-82.37883856
3543625825.82583	-82.42980228
3563645745.74575	-82.28353582
3583665665.66567	-82.48052005
3603685585.58559	-82.4752923
3623705505.50551	-82.47635615
3643725425.42543	-82.79428133
3663745345.34535	-82.17498144
3683765265.26526	-82.93659055
3703785185.18518	-83.12556931
3723805105.1051	-83.78735271
3743825025.02502	-82.84951692
3763844944.94494	-82.52478595
3783864864.86486	-82.97620886
3803884784.78478	-83.45967741
3823904704.7047	-83.2299097
3843924624.62462	-84.47730785
3863944544.54454	-83.12943765
3883964464.46446	-83.56161513
3903984384.38438	-84.00903204
3924004304.3043	-83.51267557
3944024224.22422	-83.86213266
3964044144.14414	-83.51108534
3984064064.06406	-83.91344077
4004083983.98398	-83.58940815
4024103903.9039	-83.64753716
4044123823.82382	-84.28266866
4064143743.74374	-83.88641518
4084163663.66366	-83.87923076
4104183583.58358	-83.91635715
4124203503.5035	-84.40401871
4144223423.42342	-85.11450784
4164243343.34334	-84.97160289
4184263263.26326	-84.85750484
4204283183.18318	-84.72327485
4224303103.1031	-84.74327741
4244323023.02302	-84.40271335
4264342942.94294	-84.83530661
4284362862.86286	-84.75901089
4304382782.78278	-86.04083671
4324402702.7027	-84.59990186
4344422622.62262	-85.20336487
